Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
85960,9750.84,9647.374,9584.489,9595.344,8901.973817046208,9716.798
85961,9921.29,9722.016,9741.659,9702.442,9031.125755389452,9793.126
85962,10009.28,9748.201,9853.512,9826.899,9182.163793594584,9852.149
85963,10074.03,9819.396,9907.13,9909.723,9318.822865541184,9919.985
85964,10158.35,9888.301,9930.772,9854.458,9389.757055584294,9955.942
85965,9896.09,9894.618,9917.722,9894.219,9490.29813707736,9963.887
85966,10200.14,9906.144,9943.122,9869.792,9539.418681073084,9988.323
85967,10183.76,9898.379,9964.882,9869.838,9617.934275367028,10045.339
85968,10236.08,9895.658,9941.956,9820.327,9603.69809742624,10032.307
85969,10258.76,9906.155,9925.611,9848.699,9590.89852180238,10040.725
85970,10266.99,9914.876,9925.515,9869.867,9587.019178812609,10057.616
85971,10249.209999999995,9930.522,9909.998,9830.13,9574.817965041711,10016.83
85972,10174.53,9914.4,9887.332,9870.988,9561.40988828787,9981.221
85973,10249.86,9874.024,9838.614,9891.448,9555.43793929688,9918.592
85974,10231.3,9890.3,9847.862,9896.319,9555.43793929688,9892.733
85975,10183.54,9909.792,9832.381,9846.899,9537.006565587497,9875.958
85976,10057.13,9928.093,9801.4375,9797.345,9566.660993670896,9853.294
85977,9916.61,9897.958,9726.208,9779.96,9547.95003684774,9820.012
85978,9594.68,9838.26,9598.332,9720.604,9538.14007068609,9799.073
85979,9385.62,9621.405,9345.082,9852.632,9552.907850556632,9647.811
85980,9083.01,9538.357,9199.28,9739.455,9537.229818222162,9597.083
85981,8929.99,9355.83,9052.178,9720.54,9527.016151194824,9429.009
85982,9013.56,9245.878,8995.698,9645.027,9504.04096829698,9294.255
85983,9099.69,9242.081,9036.13,9511.187,9484.54150423194,9188.496
85984,8854.170000000002,9151.076,8972.047,9270.983,9465.71400997165,9036.983
85985,8592.21,8887.179,8792.802,8974.211,9278.837133428891,8782.626
85986,8556.45,8582.594,8554.972,8837.191,9090.150615404084,8471.431
85987,8328.67,8504.273,8462.107,8676.107,8986.514178271731,8315.079
85988,8277.81,8319.142,8271.522,8620.974,8928.967814717054,8055.9775
85989,8125.42,8287.588,8173.223,8466.62,8753.700917756227,8001.5215
85990,7850.9,8178.298,8044.8457,8212.041,8538.30788696775,7822.955
85991,7648.91,7960.367,7858.275,8021.9824,8420.96907647147,7665.902
85992,7522.9,7719.7383,7659.3296,7816.362,8175.090273974308,7392.207
85993,7250.11,7574.358,7480.437,7620.567,7938.043997202693,7151.6157
85994,6983.95,7371.9795,7306.7607,7313.1875,7894.971311875787,6911.8345
85995,6678.93,7114.439,7055.98,7029.1816,7881.990085272249,6480.672
85996,6527.84,6868.7197,6863.3677,6707.597,7881.990085272249,6244.1304
85997,6451.08,6745.3657,6710.023,6604.698,7879.179163701813,6205.0728
85998,6482.67,6643.8457,6624.682,6585.448,7879.179163701813,6116.324
85999,6550.38,6632.028,6613.6636,6571.5806,7879.179163701813,6297.4946
86000,6803.68,6719.7544,6722.6094,6698.2466,7879.179163701813,6570.7095
86001,7060.84,7094.9775,7036.19,6910.549,7884.710218169327,7076.4287
86002,7542.92,7318.856,7372.528,7451.113,7884.710218169327,7300.1973
86003,8107.22,7778.1963,7992.6323,8011.292,7893.313520230521,7747.806
86004,8552.34,8407.317,8657.338,8537.671,7939.400282633616,8311.572
86005,9047.38,9010.75,9078.315,8992.465,8231.048961022638,8910.314
86006,9338.84,9500.763,9355.299,9314.791,8448.940149768723,9353.863
86007,9642.49,9591.658,9471.896,9586.484,8663.133800843529,9585.731
86008,9921.239999999998,9573.776,9553.377,9867.61,8925.014047872546,9697.5205
86009,10063.48,9645.245,9691.247,10029.137,9059.448385819574,9781.198
86010,10150.74,9689.853,9785.43,10162.282,9301.202329510275,9828.02
86011,10260.44,9804.624,9838.843,10226.185,9372.830086244394,9882.481
86012,10337.52,9829.7,9832.441,10271.598,9445.24505985258,9919.462
86013,10443.14,9831.913,9837.267,10317.793,9548.594118780677,9944.417
86014,10495.48,9864.37,9862.131,10321.133,9607.440195703508,9968.565
86015,10503.94,9802.941,9838.38,10340.614,9655.002953954649,9961.97
86016,10600.22,9760.479,9809.086,10415.556,9617.805460241132,9924.318
86017,10749.57,9763.474,9800.772,10430.118,9617.805460241132,9931.51
86018,10866.81,9797.452,9793.976,10439.038,9610.645030932295,9947.968
86019,10904.729999999998,9854.457,9802.357,10396.271,9574.092269147315,9947.423
86020,10891.05,9854.105,9802.418,10319.509,9561.08425018913,9931.316
86021,10960.73,9821.964,9775.375,10307.181,9553.596347739987,9887.726
86022,10920.08,9822.68,9765.315,10344.884,9553.596347739987,9849.42
86023,10923.9,9828.236,9749.547,10246.707,9547.641423721196,9842.792
86024,10803.46,9888.9795,9751.534,10186.563,9547.641423721196,9848.6
86025,10693.98,9902.023,9707.153,10125.279,9547.641423721196,9817.38
86026,10359.21,9861.924,9615.763,9867.278,9531.68912891979,9792.287
86027,10131.65,9697.396,9427.186,9827.955,9535.5447256729,9667.2295
86028,9854.9,9586.772,9268.538,9690.568,9516.637360870776,9619.097
86029,9647.02,9413.684,9145.04,9570.042,9486.802976121584,9477.754
86030,9634.84,9258.16,9069.544,9490.575,9404.990280098173,9323.266
86031,9688.24,9184.635,9043.963,9372.659,9401.531737911071,9152.396
86032,9447.12,9075.748,8964.78,9047.529,9380.766855146716,8992.157
86033,9113.39,8866.548,8828.755,8775.141,9201.179982669297,8771.035
86034,9038.3,8538.611,8591.558,8684.787,9079.50703208064,8446.519
86035,8744.73,8459.72,8499.039,8438.188,9026.247843796124,8285.903
86036,8602.71,8311.031,8343.871,8472.57,9005.911079791866,8055.1777
86037,8377.93,8328.533,8259.725,8300.227,8762.200249039472,7990.1973
86038,8126.06,8213.9375,8128.576,8104.25,8552.760549743824,7812.2705
86039,7883.01,8007.51,7963.4346,7972.4087,8430.75736298782,7675.8667
86040,7697.8,7775.431,7710.9663,7755.5137,8153.6441770027795,7387.667
86041,7454.8,7584.705,7500.7563,7551.0176,8001.777144875134,7186.296
86042,7124.84,7349.479,7302.7153,7299.807,7900.141284496299,6923.9683
86043,6924.24,7108.51,7089.1006,6931.9023,7881.990085272249,6516.0522
86044,6775.86,6835.553,6859.981,6747.3447,7881.990085272249,6244.7993
86045,6658.5,6702.663,6692.6714,6643.049,7879.179163701813,6142.2236
86046,6700.81,6606.6567,6605.3037,6650.794,7879.179163701813,6060.1514
